CODE_OPERATION	CODE_STATION	DATE	CODE_TAXON	RESULTAT
17RV00018013-04179565	04179565	22/08/2017	ADMI	114
17RV00018013-04179565	04179565	22/08/2017	CPLI	63
17RV00018013-04179565	04179565	22/08/2017	GEXL	25
17RV00018013-04179565	04179565	22/08/2017	MVAR	20
17RV00018013-04179565	04179565	22/08/2017	NLAN	20
17RV00018013-04179565	04179565	22/08/2017	FSAP	16
17RV00018013-04179565	04179565	22/08/2017	NGRE	16
17RV00018013-04179565	04179565	22/08/2017	KOBG	12
17RV00018013-04179565	04179565	22/08/2017	GPUM	12
17RV00018013-04179565	04179565	22/08/2017	NDIS	9
17RV00018013-04179565	04179565	22/08/2017	GPRI	8
17RV00018013-04179565	04179565	22/08/2017	EOMI	7
17RV00018013-04179565	04179565	22/08/2017	ACHD	4
17RV00018013-04179565	04179565	22/08/2017	GPAR	4
17RV00018013-04179565	04179565	22/08/2017	COPL	4
17RV00018013-04179565	04179565	22/08/2017	NDME	4
17RV00018013-04179565	04179565	22/08/2017	CEUG	4
17RV00018013-04179565	04179565	22/08/2017	NCRY	3
17RV00018013-04179565	04179565	22/08/2017	PLFR	3
17RV00018013-04179565	04179565	22/08/2017	NROS	3
17RV00018013-04179565	04179565	22/08/2017	PTLA	3
17RV00018013-04179565	04179565	22/08/2017	RSIN	3
17RV00018013-04179565	04179565	22/08/2017	NITZ	2
17RV00018013-04179565	04179565	22/08/2017	GYOB	2
17RV00018013-04179565	04179565	22/08/2017	NFON	2
17RV00018013-04179565	04179565	22/08/2017	ALBL	2
17RV00018013-04179565	04179565	22/08/2017	NPAL	2
17RV00018013-04179565	04179565	22/08/2017	MERI	2
17RV00018013-04179565	04179565	22/08/2017	NGER	2
17RV00018013-04179565	04179565	22/08/2017	SLAC	2
17RV00018013-04179565	04179565	22/08/2017	COPL	2
17RV00018013-04179565	04179565	22/08/2017	APED	2
17RV00018013-04179565	04179565	22/08/2017	NAVI	2
17RV00018013-04179565	04179565	22/08/2017	NVEN	2
17RV00018013-04179565	04179565	22/08/2017	NRHY	2
17RV00018013-04179565	04179565	22/08/2017	FRAG	2
17RV00018013-04179565	04179565	22/08/2017	SBKU	2
17RV00018013-04179565	04179565	22/08/2017	NVIP	2
17RV00018013-04179565	04179565	22/08/2017	GOMP	2
17RV00018013-04179565	04179565	22/08/2017	NLIN	1
17RV00018013-04179565	04179565	22/08/2017	KALA	1
17RV00018013-04179565	04179565	22/08/2017	NCTE	1
17RV00018013-04179565	04179565	22/08/2017	SANG	1
17RV00018013-04179565	04179565	22/08/2017	EUNO	1
17RV00018013-04179565	04179565	22/08/2017	NRAD	1
17RV00018013-04179565	04179565	22/08/2017	NAMP	1
17RV00018013-04179565	04179565	22/08/2017	NREC	1
17RV00018013-04179565	04179565	22/08/2017	NACI	1
17RV00018018-04178650	04178650	24/08/2017	ADMI	130
17RV00018018-04178650	04178650	24/08/2017	ADRI	52
17RV00018018-04178650	04178650	24/08/2017	ADCV	38
17RV00018018-04178650	04178650	24/08/2017	GEXL	35
17RV00018018-04178650	04178650	24/08/2017	FGRA	25
17RV00018018-04178650	04178650	24/08/2017	CPLI	16
17RV00018018-04178650	04178650	24/08/2017	FPRU	14
17RV00018018-04178650	04178650	24/08/2017	FPEC	13
17RV00018018-04178650	04178650	24/08/2017	ESLE	13
17RV00018018-04178650	04178650	24/08/2017	CTUM	11
17RV00018018-04178650	04178650	24/08/2017	FGRT	9
17RV00018018-04178650	04178650	24/08/2017	COCO	7
17RV00018018-04178650	04178650	24/08/2017	CEUG	5
17RV00018018-04178650	04178650	24/08/2017	GPAR	5
17RV00018018-04178650	04178650	24/08/2017	NPAL	4
17RV00018018-04178650	04178650	24/08/2017	VUCO	4
17RV00018018-04178650	04178650	24/08/2017	KOBG	3
17RV00018018-04178650	04178650	24/08/2017	NCRY	3
17RV00018018-04178650	04178650	24/08/2017	NNOT	3
17RV00018018-04178650	04178650	24/08/2017	NIGR	2
17RV00018018-04178650	04178650	24/08/2017	GTRU	2
17RV00018018-04178650	04178650	24/08/2017	FRAG	2
17RV00018018-04178650	04178650	24/08/2017	ADEX	2
17RV00018018-04178650	04178650	24/08/2017	NGER	1
17RV00018018-04178650	04178650	24/08/2017	FAPP	1
17RV00018018-04178650	04178650	24/08/2017	NIAR	1
17RV00018018-04178650	04178650	24/08/2017	NGER	1
17RV00018028-04188000	04188000	30/06/2017	CPLI	213
17RV00018028-04188000	04188000	30/06/2017	KOBG	37
17RV00018028-04188000	04188000	30/06/2017	ADMI	27
17RV00018028-04188000	04188000	30/06/2017	GEXL	27
17RV00018028-04188000	04188000	30/06/2017	UULN	18
17RV00018028-04188000	04188000	30/06/2017	NPAE	8
