CODE_OPERATION	CODE_STATION	DATE	CODE_TAXON	RESULTAT
2017J710540T06	J710540T	2017-06-27	ADMI	258
2017J710540T06	J710540T	2017-06-27	SSSP	23
2017J710540T06	J710540T	2017-06-27	ESUM	14
2017J710540T06	J710540T	2017-06-27	SCHK	11
2017J710540T06	J710540T	2017-06-27	CAEX	11
2017J710540T06	J710540T	2017-06-27	NPAD	9
2017J710540T06	J710540T	2017-06-27	GINN	8
2017J710540T06	J710540T	2017-06-27	ADRU	7
2017J710540T06	J710540T	2017-06-27	ADCT	6
2017J710540T06	J710540T	2017-06-27	NGRE	4
2017J710540T06	J710540T	2017-06-27	NCPR	4
2017J710540T06	J710540T	2017-06-27	FPEM	4
2017J710540T06	J710540T	2017-06-27	ECAE	3
2017J710540T06	J710540T	2017-06-27	AINA	3
2017J710540T06	J710540T	2017-06-27	AUPU	3
2017J710540T06	J710540T	2017-06-27	FGRA	3
2017J710540T06	J710540T	2017-06-27	FNAN	3
2017J710540T06	J710540T	2017-06-27	NILA	3
2017J710540T06	J710540T	2017-06-27	DPST	2
2017J710540T06	J710540T	2017-06-27	ECPM	2
2017J710540T06	J710540T	2017-06-27	ETAN	2
2017J710540T06	J710540T	2017-06-27	BNEG	2
2017J710540T06	J710540T	2017-06-27	NFON	2
2017J710540T06	J710540T	2017-06-27	NNOT	2
2017J710540T06	J710540T	2017-06-27	VUCO	2
2017J710540T06	J710540T	2017-06-27	NIVA	2
2017J710540T06	J710540T	2017-06-27	ENMI	1
2017J710540T06	J710540T	2017-06-27	HCOS	1
2017J710540T06	J710540T	2017-06-27	PLFR	1
2017J710540T06	J710540T	2017-06-27	DSTE	1
2017J710540T06	J710540T	2017-06-27	CMLF	1
2017J710540T06	J710540T	2017-06-27	CDIS	1
2017J710540T06	J710540T	2017-06-27	NCTE	1
2017J710540T05	J710540T	2017-06-27	ADMI	263
2017J710540T05	J710540T	2017-06-27	ECPM	49
2017J710540T05	J710540T	2017-06-27	ADCT	13
2017J710540T05	J710540T	2017-06-27	ACAF	8
2017J710540T05	J710540T	2017-06-27	PDAU	8
2017J710540T05	J710540T	2017-06-27	EOMI	7
2017J710540T05	J710540T	2017-06-27	ADCV	6
2017J710540T05	J710540T	2017-06-27	NPAD	5
2017J710540T05	J710540T	2017-06-27	XXXX	4
2017J710540T05	J710540T	2017-06-27	KCLE	4
2017J710540T05	J710540T	2017-06-27	VUCO	4
2017J710540T05	J710540T	2017-06-27	EULA	4
2017J710540T05	J710540T	2017-06-27	AINA	4
2017J710540T05	J710540T	2017-06-27	ENVE	3
2017J710540T05	J710540T	2017-06-27	FGRA	3
2017J710540T05	J710540T	2017-06-27	NGRE	2
2017J710540T05	J710540T	2017-06-27	CMLF	2
2017J710540T05	J710540T	2017-06-27	NFON	2
2017J710540T05	J710540T	2017-06-27	RSIN	2
2017J710540T05	J710540T	2017-06-27	CDUB	1
2017J710540T05	J710540T	2017-06-27	PMMS	1
2017J710540T05	J710540T	2017-06-27	NIVA	1
2017J710540T05	J710540T	2017-06-27	NIAR	1
2017J710540T05	J710540T	2017-06-27	PLFR	1
2017J710540T05	J710540T	2017-06-27	NCRY	1
2017J710540T05	J710540T	2017-06-27	PPRS	1
2017J710540T04	J710540T	2017-06-27	ADMI	200
2017J710540T04	J710540T	2017-06-27	ESUM	41
2017J710540T04	J710540T	2017-06-27	GLAT	22
2017J710540T04	J710540T	2017-06-27	ADCT	21
2017J710540T04	J710540T	2017-06-27	BNEG	16
2017J710540T04	J710540T	2017-06-27	SCHK	12
2017J710540T04	J710540T	2017-06-27	FPAR	11
2017J710540T04	J710540T	2017-06-27	SSSP	9
2017J710540T04	J710540T	2017-06-27	ADRU	8
2017J710540T04	J710540T	2017-06-27	EOMI	6
2017J710540T04	J710540T	2017-06-27	NVDA	6
2017J710540T04	J710540T	2017-06-27	NFON	5
2017J710540T04	J710540T	2017-06-27	GELG	4
2017J710540T04	J710540T	2017-06-27	NDGE	4
2017J710540T04	J710540T	2017-06-27	CDUB	3
2017J710540T04	J710540T	2017-06-27	AUPU	3
2017J710540T04	J710540T	2017-06-27	AINA	3
2017J710540T04	J710540T	2017-06-27	NCRY	3
2017J710540T04	J710540T	2017-06-27	FGRA	2
2017J710540T04	J710540T	2017-06-27	APED	2
2017J710540T04	J710540T	2017-06-27	PGRN	2
2017J710540T04	J710540T	2017-06-27	PDAO	2
2017J710540T04	J710540T	2017-06-27	VUCO	2
2017J710540T04	J710540T	2017-06-27	PLFR	2
2017J710540T04	J710540T	2017-06-27	NGRE	2
2017J710540T04	J710540T	2017-06-27	CEUG	2
2017J710540T04	J710540T	2017-06-27	NANT	2
2017J710540T04	J710540T	2017-06-27	EADN	1
2017J710540T04	J710540T	2017-06-27	ECAE	1
2017J710540T04	J710540T	2017-06-27	HCOS	1
2017J710540T04	J710540T	2017-06-27	HCAP	1
2017J710540T04	J710540T	2017-06-27	PPVP	1
2017J710540T03	J710540T	2017-06-27	ADMI	328
2017J710540T03	J710540T	2017-06-27	ESUM	29
2017J710540T03	J710540T	2017-06-27	CAEX	12
2017J710540T03	J710540T	2017-06-27	GMIS	5
2017J710540T03	J710540T	2017-06-27	BNEG	5
2017J710540T03	J710540T	2017-06-27	GLAT	4
2017J710540T03	J710540T	2017-06-27	PGRN	4
2017J710540T03	J710540T	2017-06-27	FGRA	2
2017J710540T03	J710540T	2017-06-27	PULA	2
2017J710540T03	J710540T	2017-06-27	FRAD	2
2017J710540T03	J710540T	2017-06-27	ESLE	1
2017J710540T03	J710540T	2017-06-27	SCON	1
2017J710540T03	J710540T	2017-06-27	SSSP	1
2017J710540T03	J710540T	2017-06-27	SEXG	1
2017J710540T03	J710540T	2017-06-27	PLFR	1
2017J710540T03	J710540T	2017-06-27	FTEN	1
2017J710540T03	J710540T	2017-06-27	NPAD	1
2017J710540T02	J710540T	2017-06-27	ESUM	261
2017J710540T02	J710540T	2017-06-27	ADMI	64
2017J710540T02	J710540T	2017-06-27	GLAT	34
2017J710540T02	J710540T	2017-06-27	ADCT	10
2017J710540T02	J710540T	2017-06-27	CAEX	6
