CODE_OPERATION	CODE_STATION	DATE	CODE_TAXON	RESULTAT
20170416159501	04161595	2017-08-18	KOBG	156
20170416159501	04161595	2017-08-18	PTLA	74
20170416159501	04161595	2017-08-18	PLFR	47
20170416159501	04161595	2017-08-18	CEUG	30
20170416159501	04161595	2017-08-18	GPRI	16
20170416159501	04161595	2017-08-18	CPLI	14
20170416159501	04161595	2017-08-18	EOMI	13
20170416159501	04161595	2017-08-18	NLAN	7
20170416159501	04161595	2017-08-18	MPMI	5
20170416159501	04161595	2017-08-18	ADEU	5
20170416159501	04161595	2017-08-18	PTDE	4
20170416159501	04161595	2017-08-18	AAMB	3
20170416159501	04161595	2017-08-18	RSIN	3
20170416159501	04161595	2017-08-18	ADSO	2
20170416159501	04161595	2017-08-18	SSVE	2
20170416159501	04161595	2017-08-18	NZSU	2
20170416159501	04161595	2017-08-18	APED	2
20170416159501	04161595	2017-08-18	DPST	2
20170416159501	04161595	2017-08-18	NGRE	2
20170416159501	04161595	2017-08-18	PGRN	2
20170416159501	04161595	2017-08-18	COPL	2
20170416159501	04161595	2017-08-18	SHTE	1
20170416159501	04161595	2017-08-18	NISU	1
20170416159501	04161595	2017-08-18	CCOC	1
20170416159501	04161595	2017-08-18	CMED	1
20170416159501	04161595	2017-08-18	NACD	1
20170416159501	04161595	2017-08-18	ESBM	1
20170416159501	04161595	2017-08-18	SBKU	1
20170416230001	04162300	2017-08-29	MPMI	120
20170416230001	04162300	2017-08-29	NAMP	33
20170416230001	04162300	2017-08-29	APED	28
20170416230001	04162300	2017-08-29	FSAP	23
20170416230001	04162300	2017-08-29	NGRE	22
20170416230001	04162300	2017-08-29	MVAR	19
20170416230001	04162300	2017-08-29	EOMI	18
20170416230001	04162300	2017-08-29	PTDE	18
20170416230001	04162300	2017-08-29	NPAL	14
20170416230001	04162300	2017-08-29	GPAR	14
20170416230001	04162300	2017-08-29	PDAU	11
20170416230001	04162300	2017-08-29	PTLA	11
20170416230001	04162300	2017-08-29	CEUG	10
20170416230001	04162300	2017-08-29	DPST	7
20170416230001	04162300	2017-08-29	SSGE	6
20170416230001	04162300	2017-08-29	NSTS	6
20170416230001	04162300	2017-08-29	PLFR	6
20170416230001	04162300	2017-08-29	VUCO	4
20170416230001	04162300	2017-08-29	ESBM	4
20170416230001	04162300	2017-08-29	PMNT	3
20170416230001	04162300	2017-08-29	NPAD	3
20170416230001	04162300	2017-08-29	GACC	3
20170416230001	04162300	2017-08-29	SHTE	2
20170416230001	04162300	2017-08-29	TDEB	2
20170416230001	04162300	2017-08-29	CINV	2
20170416230001	04162300	2017-08-29	RSIN	2
20170416230001	04162300	2017-08-29	NSOC	2
20170416230001	04162300	2017-08-29	NLAN	2
20170416230001	04162300	2017-08-29	NCTE	1
20170416230001	04162300	2017-08-29	NDIS	1
20170416230001	04162300	2017-08-29	PPRO	1
20170416230001	04162300	2017-08-29	SBRE	1
20170416230001	04162300	2017-08-29	EPRO	1
20170416485001	04164850	2017-06-29	RABB	49
20170416485001	04164850	2017-06-29	APED	49
20170416485001	04164850	2017-06-29	NGRE	42
20170416485001	04164850	2017-06-29	CEUG	38
20170416485001	04164850	2017-06-29	NLAN	28
20170416485001	04164850	2017-06-29	GPRI	23
20170416485001	04164850	2017-06-29	TPSN	20
20170416485001	04164850	2017-06-29	COPL	18
20170416485001	04164850	2017-06-29	CPLI	18
20170416485001	04164850	2017-06-29	GBOB	14
20170416485001	04164850	2017-06-29	MVAR	12
20170416485001	04164850	2017-06-29	NDIS	11
20170416485001	04164850	2017-06-29	KOBG	10
20170416485001	04164850	2017-06-29	PLFR	7
20170416485001	04164850	2017-06-29	NSYM	7
20170416485001	04164850	2017-06-29	NZSU	6
20170416485001	04164850	2017-06-29	NPAD	5
20170416485001	04164850	2017-06-29	SSVE	4
20170416485001	04164850	2017-06-29	NSOC	4
20170416485001	04164850	2017-06-29	TDEB	4
20170416485001	04164850	2017-06-29	NTPT	4
20170416485001	04164850	2017-06-29	MPMI	2
20170416485001	04164850	2017-06-29	EOMI	2
20170416485001	04164850	2017-06-29	ADMI	2
20170416485001	04164850	2017-06-29	MAAT	2
20170416485001	04164850	2017-06-29	NACI	2
20170416485001	04164850	2017-06-29	NIFQ	2
20170416485001	04164850	2017-06-29	SSGE	2
20170416485001	04164850	2017-06-29	FBEL	2
20170416485001	04164850	2017-06-29	NPAL	1
20170416485001	04164850	2017-06-29	NCTO	1
20170416485001	04164850	2017-06-29	NCRY	1
20170416485001	04164850	2017-06-29	PTLA	1
20170416485001	04164850	2017-06-29	NINC	1
20170416485001	04164850	2017-06-29	UULN	1
20170416485001	04164850	2017-06-29	GSCI	1
20170416485001	04164850	2017-06-29	GACC	1
20170416485001	04164850	2017-06-29	AUGA	1
20170416485001	04164850	2017-06-29	SIDE	1
20170416485001	04164850	2017-06-29	TRYS	1
20170417203001	04172030	2017-06-29	CPLI	84
20170417203001	04172030	2017-06-29	RABB	49
20170417203001	04172030	2017-06-29	APED	46
20170417203001	04172030	2017-06-29	COPL	40
20170417203001	04172030	2017-06-29	CEUG	38
20170417203001	04172030	2017-06-29	EOMI	17
20170417203001	04172030	2017-06-29	NGRE	16
20170417203001	04172030	2017-06-29	AMID	16
20170417203001	04172030	2017-06-29	GPRI	13
20170417203001	04172030	2017-06-29	NAMP	10
20170417203001	04172030	2017-06-29	MPMI	10
20170417203001	04172030	2017-06-29	ADEU	8
20170417203001	04172030	2017-06-29	NTPT	8
20170417203001	04172030	2017-06-29	CPED	7
20170417203001	04172030	2017-06-29	GBOB	6
20170417203001	04172030	2017-06-29	VUCO	6
20170417203001	04172030	2017-06-29	PTDE	5
20170417203001	04172030	2017-06-29	PLFR	5
20170417203001	04172030	2017-06-29	PTLA	4
20170417203001	04172030	2017-06-29	FSAP	3
20170417203001	04172030	2017-06-29	NLAN	3
20170417203001	04172030	2017-06-29	PDAU	2
20170417203001	04172030	2017-06-29	MVAR	2
20170417203001	04172030	2017-06-29	HIPO	1
20170417203001	04172030	2017-06-29	KCLE	1
20170417425001	04174250	2017-07-03	EOMI	289
20170417425001	04174250	2017-07-03	ADMI	46
20170417425001	04174250	2017-07-03	SSEM	20
20170417425001	04174250	2017-07-03	GPAR	10
20170417425001	04174250	2017-07-03	NCRY	8
20170417425001	04174250	2017-07-03	MPMI	6
20170417425001	04174250	2017-07-03	KOBG	4
20170417425001	04174250	2017-07-03	PTLA	4
20170417425001	04174250	2017-07-03	CHEV	3
20170417425001	04174250	2017-07-03	CMLF	3
20170417425001	04174250	2017-07-03	RSIN	2
20170417425001	04174250	2017-07-03	KOTG	2
20170417425001	04174250	2017-07-03	NITZ	1
20170417425001	04174250	2017-07-03	GACC	1
20170417425001	04174250	2017-07-03	NGRE	1
20170417452001	04174520	2017-07-03	CPLI	90
20170417452001	04174520	2017-07-03	EOMI	70
20170417452001	04174520	2017-07-03	MPMI	42
20170417452001	04174520	2017-07-03	PTLA	39
20170417452001	04174520	2017-07-03	GPRI	22
20170417452001	04174520	2017-07-03	CEUG	18
20170417452001	04174520	2017-07-03	KOBG	16
20170417452001	04174520	2017-07-03	MVAR	13
20170417452001	04174520	2017-07-03	NGRE	11
20170417452001	04174520	2017-07-03	PLFR	10
20170417452001	04174520	2017-07-03	FSAP	9
20170417452001	04174520	2017-07-03	ADCT	8
20170417452001	04174520	2017-07-03	ADMI	6
20170417452001	04174520	2017-07-03	SSVE	5
20170417452001	04174520	2017-07-03	DPST	5
20170417452001	04174520	2017-07-03	SEXG	5
20170417452001	04174520	2017-07-03	GINN	4
20170417452001	04174520	2017-07-03	NYCO	4
20170417452001	04174520	2017-07-03	ADSO	3
20170417452001	04174520	2017-07-03	NAMP	3
20170417452001	04174520	2017-07-03	NSHC	3
20170417452001	04174520	2017-07-03	CDUB	2
20170417452001	04174520	2017-07-03	RABB	2
20170417452001	04174520	2017-07-03	RSIN	2
